"id","val","year"
1001,-0.51,"1895"
1002,-1.39,"1895"
1003,-0.62,"1895"
1004,-1.62,"1895"
1005,-0.31,"1895"
1006,1.62,"1895"
1007,1.31,"1895"
1008,2.72,"1895"
1009,1.78,"1895"
1010,0.31,"1895"
1101,-2.06,"1895"
1102,-2.69,"1895"
1103,-1.86,"1895"
1104,-2.77,"1895"
1105,-3.24,"1895"
1106,-1.75,"1895"
1107,-2.43,"1895"
1108,-1.62,"1895"
1109,-2.01,"1895"
1201,-2.87,"1895"
1202,-3.24,"1895"
1203,-3.09,"1895"
1204,-3.03,"1895"
1205,-2.99,"1895"
1206,-3.36,"1895"
1207,-2.5,"1895"
1208,-2.42,"1895"
1209,-2.48,"1895"
1301,-0.37,"1895"
1302,-0.94,"1895"
1303,-1.15,"1895"
1304,0.09,"1895"
1305,-0.79,"1895"
1306,-1.63,"1895"
1307,0.4,"1895"
1308,0.08,"1895"
1309,-1.93,"1895"
1401,1.77,"1895"
1402,0.42,"1895"
1403,0.21,"1895"
1404,1.51,"1895"
1405,0.4,"1895"
1406,0.14,"1895"
1407,1.56,"1895"
1408,0.32,"1895"
1409,0.2,"1895"
1501,-0.04,"1895"
1502,-1.81,"1895"
1503,-2.15,"1895"
1504,-1.31,"1895"
1601,0.91,"1895"
1602,0.82,"1895"
1603,0.74,"1895"
1604,0.88,"1895"
1605,1.02,"1895"
1606,0.68,"1895"
1607,1.28,"1895"
1608,0.82,"1895"
1609,0.94,"1895"
1701,-2,"1895"
1702,-1.98,"1895"
1703,-2.16,"1895"
1801,1.48,"1895"
1802,0.64,"1895"
1803,1.12,"1895"
1804,1.03,"1895"
1805,-0.17,"1895"
1806,-0.34,"1895"
1807,-1.11,"1895"
1808,-1.68,"1895"
1901,-2.08,"1895"
1902,-2.17,"1895"
1903,-1.96,"1895"
2001,-1.7,"1895"
2002,-2.82,"1895"
2003,-2.96,"1895"
2004,-2.76,"1895"
2005,-2.85,"1895"
2006,-3.21,"1895"
2007,-3.05,"1895"
2008,-2.7,"1895"
2009,-2.94,"1895"
2010,-2.79,"1895"
2101,0.95,"1895"
2102,0.65,"1895"
2103,0.38,"1895"
2104,-0.3,"1895"
2105,-0.78,"1895"
2106,-0.9,"1895"
2107,-0.55,"1895"
2108,-1.23,"1895"
2109,-1.62,"1895"
2201,0.64,"1895"
2202,0.33,"1895"
2203,0.23,"1895"
2204,0.59,"1895"
2205,0.53,"1895"
2206,-0.65,"1895"
2207,0.63,"1895"
2208,0.68,"1895"
2209,0.86,"1895"
2210,0.95,"1895"
2301,0.26,"1895"
2302,-1.17,"1895"
2303,0.57,"1895"
2304,0.91,"1895"
2305,0.57,"1895"
2306,0.29,"1895"
2401,-1.74,"1895"
2402,1.51,"1895"
2403,0.15,"1895"
2404,1.42,"1895"
2405,2.5,"1895"
2406,1.67,"1895"
2407,2.27,"1895"
2501,3.94,"1895"
2502,1.46,"1895"
2503,-0.37,"1895"
2505,0.69,"1895"
2506,0.36,"1895"
2507,2,"1895"
2508,0.55,"1895"
2509,0.32,"1895"
2601,3.5,"1895"
2602,-0.39,"1895"
2603,3.61,"1895"
2604,5.76,"1895"
2701,-1.08,"1895"
2702,-1.62,"1895"
2801,-1.46,"1895"
2802,-0.58,"1895"
2803,-0.51,"1895"
2901,2.15,"1895"
2902,2.24,"1895"
2903,1.75,"1895"
2904,2.22,"1895"
2905,3.53,"1895"
2906,0.48,"1895"
2907,1.81,"1895"
2908,3.7,"1895"
3001,-2.74,"1895"
3002,-2.32,"1895"
3003,-1.7,"1895"
3004,-1.46,"1895"
3005,-1.87,"1895"
3006,-2.3,"1895"
3007,-0.97,"1895"
3008,-1.45,"1895"
3009,-2.53,"1895"
3010,-2.54,"1895"
3101,0.86,"1895"
3102,-0.22,"1895"
3103,-0.23,"1895"
3104,-0.21,"1895"
3105,-0.33,"1895"
3106,-0.29,"1895"
3107,-0.31,"1895"
3108,-0.31,"1895"
3201,2.69,"1895"
3202,2.75,"1895"
3203,2.19,"1895"
3204,3.37,"1895"
3205,2.83,"1895"
3206,2.02,"1895"
3207,2.84,"1895"
3208,2.97,"1895"
3209,1.68,"1895"
3301,-3.01,"1895"
3302,-2.62,"1895"
3303,-2.43,"1895"
3304,-3.05,"1895"
3305,-2.93,"1895"
3306,-2.58,"1895"
3307,-2.33,"1895"
3308,-2.81,"1895"
3309,-2.44,"1895"
3310,-3,"1895"
3401,0.7,"1895"
3402,-2.06,"1895"
3403,0.22,"1895"
3404,0.23,"1895"
3405,0.2,"1895"
3406,0.5,"1895"
3407,0.58,"1895"
3408,0.71,"1895"
3409,0.78,"1895"
3501,-0.73,"1895"
3502,-0.73,"1895"
3503,0.42,"1895"
3504,-0.83,"1895"
3505,-0.35,"1895"
3506,-0.35,"1895"
3507,-0.41,"1895"
3508,-0.62,"1895"
3509,2.55,"1895"
3601,-1.69,"1895"
3602,-1.44,"1895"
3603,-1.04,"1895"
3604,-0.89,"1895"
3605,-1.75,"1895"
3606,-2.32,"1895"
3607,-2.47,"1895"
3608,-1.97,"1895"
3609,-2.73,"1895"
3610,-3.23,"1895"
3701,-1.67,"1895"
3801,0.86,"1895"
3802,0.86,"1895"
3803,-0.39,"1895"
3804,-0.4,"1895"
3805,-0.33,"1895"
3806,-0.53,"1895"
3807,-0.49,"1895"
3901,2.73,"1895"
3902,1.75,"1895"
3903,0.63,"1895"
3904,3.01,"1895"
3905,3.12,"1895"
3906,0.67,"1895"
3907,-0.56,"1895"
3908,-0.88,"1895"
3909,-1.19,"1895"
4001,-0.44,"1895"
4002,-0.81,"1895"
4003,-1.44,"1895"
4004,0,"1895"
4101,1.15,"1895"
4102,1.35,"1895"
4103,1.7,"1895"
4104,1.72,"1895"
4105,4.81,"1895"
4106,2.78,"1895"
4107,2.91,"1895"
4108,2.1,"1895"
4109,3.76,"1895"
4110,4.02,"1895"
4201,2.92,"1895"
4202,-0.35,"1895"
4203,-0.36,"1895"
4204,-0.23,"1895"
4205,-0.51,"1895"
4206,2.52,"1895"
4207,2.19,"1895"
4301,-0.94,"1895"
4302,-1.09,"1895"
4303,-1.73,"1895"
4401,1.42,"1895"
4402,-0.29,"1895"
4403,-0.33,"1895"
4404,0.72,"1895"
4405,0.52,"1895"
4406,-0.49,"1895"
4501,-0.43,"1895"
4502,-0.3,"1895"
4503,-0.47,"1895"
4504,-0.46,"1895"
4505,-0.52,"1895"
4506,-0.3,"1895"
4507,1.73,"1895"
4508,2.57,"1895"
4509,-0.51,"1895"
4510,-0.28,"1895"
4601,-3.43,"1895"
4602,-2.75,"1895"
4603,-2.48,"1895"
4604,-2.25,"1895"
4605,-1.01,"1895"
4606,-0.62,"1895"
4701,-1.58,"1895"
4702,-1.79,"1895"
4703,-2.26,"1895"
4704,-1.63,"1895"
4705,-1.88,"1895"
4706,-2.04,"1895"
4707,-1.53,"1895"
4708,-1.92,"1895"
